Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
2-ten_S247_concat	2-ten_S247_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1171980.0	0.0	20-95	43.0	81.4868267650976	70.77472141162818	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
2A_S215_concat	2A_S215_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3087430.0	0.0	20-95	47.0	47.05619948262869	75.30244442788987	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
2B_S216_concat	2B_S216_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2816672.0	0.0	20-95	47.0	54.0587669431704	74.79774144806353	pass	pass	fail	pass	fail	warn	pass	warn	warn	pass	pass	warn
2D_S217_concat	2D_S217_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3216388.0	0.0	20-95	48.0	39.77978222714428	74.84382108128746	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass	fail
3-1_S231_concat	3-1_S231_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	706510.0	0.0	20-95	44.0	80.78162762858321	68.76782211150585	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass	warn
3-2_S232_concat	3-2_S232_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	497430.0	0.0	20-95	42.0	69.20910368543107	61.787821402006315	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass	warn
3-3_S233_concat	3-3_S233_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	918266.0	0.0	20-95	43.0	77.67667038349967	68.56631302912228	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	warn
3-4_S234_concat	3-4_S234_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1424479.0	0.0	20-95	44.0	65.97685357938099	68.53095903835718	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass	fail
3-6_S248_concat	3-6_S248_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	695851.0	0.0	20-95	44.0	71.46468697095443	68.55979225437629	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	warn
3-7_S249_concat	3-7_S249_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1785932.0	0.0	20-95	45.0	67.08804721744873	72.28189987076776	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass	fail
3-8_S250_concat	3-8_S250_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2236028.0	0.0	20-95	45.0	69.37561918373444	71.99658948814594	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass	warn
3A_S218_concat	3A_S218_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1001998.0	0.0	20-95	43.0	83.34856227046642	71.52258786943686	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	fail
3B_S219_concat	3B_S219_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1070509.0	0.0	20-95	44.0	77.41941324303771	73.21789167582898	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
3C_S220_concat	3C_S220_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2485479.0	0.0	20-95	46.0	51.54398892916494	73.59363245475016	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass	fail
4-1_S235_concat	4-1_S235_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	602936.0	0.0	20-95	43.0	82.15313060930954	70.085259463691	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass	warn
4-2_S236_concat	4-2_S236_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	411506.0	0.0	20-95	43.0	77.65945822091383	66.54585838359587	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
4-3_S237_concat	4-3_S237_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	720570.0	0.0	20-95	43.0	75.67095286783093	68.45217536117241	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	fail
4-4_S238_concat	4-4_S238_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1000098.0	0.0	20-95	44.0	74.76104831660125	71.0332787386836	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass	fail
4-6_S251_concat	4-6_S251_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1456931.0	0.0	20-95	44.0	71.42742414012662	70.32400024434925	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
4-7_S252_concat	4-7_S252_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1603722.0	0.0	20-95	44.0	83.4078348135411	72.15262869749246	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	fail
4-8_S253_concat	4-8_S253_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1814228.0	0.0	20-95	43.0	77.10826289617813	71.68065314833638	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	fail
4-9_S254_concat	4-9_S254_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2331324.0	0.0	20-95	44.0	72.72019215887806	72.64266657058393	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass	warn
4A_S221_concat	4A_S221_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	815759.0	0.0	20-95	45.0	48.221589605458426	70.33925460828505	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass	warn
4C_S222_concat	4C_S222_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2261919.0	0.0	20-95	45.0	60.14328203298559	73.40815298867908	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass	warn
