Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
2D_S217_concat	2D_S217_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	7372772.0	0.0	101.0	48.0	61.93333706418526	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
3-1_S231_concat	3-1_S231_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5135434.0	0.0	101.0	14.0	36.658035375228465	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
3-2_S232_concat	3-2_S232_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4127753.0	0.0	101.0	14.0	39.794723276876354	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass	fail
3-3_S233_concat	3-3_S233_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4827307.0	0.0	101.0	18.0	43.45528757708293	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
3-4_S234_concat	3-4_S234_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	7763867.0	0.0	101.0	18.0	43.0311620985582	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
3-6_S248_concat	3-6_S248_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4189801.0	0.0	101.0	19.0	42.02222778011755	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
3-7_S249_concat	3-7_S249_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4467762.0	0.0	101.0	36.0	65.56506387165093	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass	fail
3-8_S250_concat	3-8_S250_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	6834293.0	0.0	101.0	29.0	57.24998462099439	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
3A_S218_concat	3A_S218_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5276220.0	0.0	101.0	20.0	40.64677899051168	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
3B_S219_concat	3B_S219_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	2867781.0	0.0	101.0	32.0	62.19972862750305	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
3C_S220_concat	3C_S220_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	6009807.0	0.0	101.0	38.0	62.63848434419873	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
4-1_S235_concat	4-1_S235_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5351827.0	0.0	101.0	14.0	31.607829378953127	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
4-2_S236_concat	4-2_S236_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4491897.0	0.0	101.0	11.0	31.26772775612575	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
4-3_S237_concat	4-3_S237_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4184092.0	0.0	101.0	16.0	41.81087331774002	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
4-4_S238_concat	4-4_S238_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5236485.0	0.0	101.0	18.0	39.883048948447794	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
4-6_S251_concat	4-6_S251_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5403390.0	0.0	101.0	25.0	51.89538168427234	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
4-7_S252_concat	4-7_S252_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	4719129.0	0.0	101.0	26.0	58.880341464171636	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
4-8_S253_concat	4-8_S253_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5407782.0	0.0	101.0	27.0	57.89181232050077	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
4-9_S254_concat	4-9_S254_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	6124595.0	0.0	101.0	32.0	62.28829358918012	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
4A_S221_concat	4A_S221_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	3530185.0	0.0	101.0	26.0	41.81742532401354	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
4C_S222_concat	4C_S222_concat.fastq	Conventional base calls	Sanger / Illumina 1.9	5406824.0	0.0	101.0	37.0	63.93254182090381	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	fail
